"index","Familie","Gattung","Art","D_2__Anaerolineae","D_2__Bacilli","D_2__Bacteroidia","D_2__Clostridia","D_2__Coriobacteriia","D_2__Deltaproteobacteria","D_2__Erysipelotrichia","D_2__Fibrobacteria","D_2__Gammaproteobacteria","D_2__Methanobacteria","D_2__Methanomicrobia","D_2__Negativicutes","D_2__Saccharimonadia","D_2__Spirochaetia","D_2__Synergistia","D_2__Verrucomicrobiae","D_2__Actinobacteria","D_2__Fusobacteriia","D_2__Campylobacteria","D_2__Mollicutes","D_2__Planctomycetacia","D_2__Thermoplasmata","D_2__Burkholderiales bacterium Beta_02","D_2__Elusimicrobia","D_2__Endomicrobia","D_2__Alphaproteobacteria","D_2__Chloroflexia","D_2__Oxyphotobacteria","D_2__Melainabacteria","D_2__Lentisphaeria","D_2__Metamonada","D_2__Leptospirae","D_2__Deferribacteres","D_2__Blastocatellia","D_2__Nucletmycea","D_2__Oligosphaeria"
"LAN2707GNUS2","Bovidae","Connochaetes","Gnu",0,35,2166,3966,0,32,302,0,0,492,0,193,0,92,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2707GNUS3","Bovidae","Connochaetes","Gnu",0,185,2497,5068,0,0,139,188,0,1152,0,205,51,395,0,1014,15,0,0,0,46,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2707ZEBR1","Equidae","Equus","Bergzebra",60,973,3299,6674,0,0,44,195,127,233,127,240,42,2301,445,219,0,0,110,0,0,30,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"LAN2707ZEBR2","Equidae","Equus","Bergzebra",0,109,3038,5107,13,33,26,245,108,406,0,399,0,2201,142,551,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2807GNUS1","Bovidae","Connochaetes","Gnu",25,1871,1543,2453,0,32,140,0,0,659,0,124,0,80,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2807GNUS2","Bovidae","Connochaetes","Gnu",0,1011,2238,5284,0,0,171,322,0,863,0,200,0,464,0,904,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2807GNUS3","Bovidae","Connochaetes","Gnu",0,45,2154,3257,0,0,221,0,0,675,0,0,0,50,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2807ZEBR1","Equidae","Equus","Bergzebra",84,1370,3621,6764,140,55,92,192,205,661,195,248,87,2951,367,349,39,0,70,0,66,48,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"LAN2807ZEBR2","Equidae","Equus","Bergzebra",0,1440,760,1196,0,13,0,117,1239,137,0,0,0,971,0,203,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2907GNUS1","Bovidae","Connochaetes","Gnu",33,210,3930,4375,0,61,198,0,0,1287,0,194,0,460,0,640,17,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2907GNUS2","Bovidae","Connochaetes","Gnu",41,194,1948,3595,0,0,211,227,0,637,0,0,0,439,0,1249,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2907GNUS3","Bovidae","Connochaetes","Gnu",35,108,3088,4381,0,27,333,0,0,1165,0,135,44,265,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN2907ZEBR1","Equidae","Equus","Bergzebra",49,827,1916,4609,0,0,156,226,23,390,224,141,32,2107,157,89,0,0,0,25,29,72,0,0,0,0,0,0,0,0,0,18,0,0,0,0
"LAN2907ZEBR2","Equidae","Equus","Bergzebra",0,91,967,1742,0,0,0,169,0,229,0,60,0,1344,24,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3007GNUS1","Bovidae","Connochaetes","Gnu",65,167,2869,4330,0,0,146,0,0,2069,0,136,41,130,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3007GNUS2","Bovidae","Connochaetes","Gnu",31,1573,2135,4910,0,16,259,247,0,1858,10,194,28,799,0,481,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3007GNUS3","Bovidae","Connochaetes","Gnu",28,47,4593,5313,57,25,275,0,0,1895,0,166,38,434,0,72,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3007ZEBR1","Equidae","Equus","Bergzebra",30,700,2209,5840,0,11,117,77,22,926,233,173,53,2169,195,67,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3007ZEBR2","Equidae","Equus","Bergzebra",0,365,3900,10256,66,0,18,210,70,2362,16,1057,17,4138,121,203,0,0,44,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3107GNUS1","Bovidae","Connochaetes","Gnu",0,95,3768,6153,0,19,194,0,0,1627,0,277,0,395,0,471,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3107GNUS2","Bovidae","Connochaetes","Gnu",0,2100,2689,5500,0,20,155,389,0,1334,15,221,0,592,0,604,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3107GNUS3","Bovidae","Connochaetes","Gnu",81,438,6506,8328,76,73,327,0,0,2011,0,285,88,307,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3107ZEBR1","Equidae","Equus","Bergzebra",0,627,4512,7053,39,32,139,150,108,576,229,394,148,3491,378,287,0,0,34,0,47,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN3107ZEBR2","Equidae","Equus","Bergzebra",0,690,3697,5246,0,41,19,397,130,282,0,624,0,2745,152,394,0,0,91,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
