"index","Familie","Gattung","Art","D_1__Actinobacteria","D_1__Bacteroidetes","D_1__Chloroflexi","D_1__Euryarchaeota","D_1__Fibrobacteres","D_1__Firmicutes","D_1__Patescibacteria","D_1__Proteobacteria","D_1__Spirochaetes","D_1__Synergistetes","D_1__Verrucomicrobia","D_1__Fusobacteria","D_1__Epsilonbacteraeota","D_1__Planctomycetes","D_1__Tenericutes","D_1__WPS-2","D_1__Elusimicrobia","D_1__Cyanobacteria","D_1__Lentisphaerae","D_1__Excavata","D_1__Deferribacteres","D_1__Acidobacteria","D_1__Opisthokonta"
"OPE0603ERDM1","Herpestidae","Suricata","Erdmaennchen",0,8785,0,0,0,7093,0,1585,0,0,0,3887,442,0,0,0,0,0,0,0,0,0,0
"OPE0603ERDM2","Herpestidae","Suricata","Erdmaennchen",0,3295,0,0,0,3580,0,186,0,0,0,826,0,0,0,0,0,0,0,0,0,0,0
"OPE0603ERDM3","Herpestidae","Suricata","Erdmaennchen",0,7991,0,0,0,4855,0,945,0,0,0,2552,145,0,0,0,0,0,0,0,0,0,0
"OPE0802GNUS1","Bovidae","Connochaetes","Gnu",0,1910,0,29,0,2126,0,45,182,0,95,0,0,0,0,0,0,0,0,0,0,0,0
"OPE0802GNUS2","Bovidae","Connochaetes","Gnu",0,981,0,12,0,1500,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
"OPE0802ZEBR1","Equidae","Equus","Steppenzebra",0,725,0,92,224,770,41,0,744,29,96,0,0,0,0,0,0,0,0,0,0,0,0
"OPE0902GNUS1","Bovidae","Connochaetes","Gnu",0,1863,0,150,0,3251,0,63,189,0,141,0,0,0,0,0,0,0,0,0,0,0,0
"OPE0902GNUS2","Bovidae","Connochaetes","Gnu",0,11886,82,1611,0,21466,101,254,523,0,4039,0,0,29,0,0,0,0,0,0,0,0,0
"OPE0902ZEBR1","Equidae","Equus","Steppenzebra",0,1121,0,139,217,2036,33,0,810,32,114,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1002GNUS1","Bovidae","Connochaetes","Gnu",0,2069,0,159,0,2762,0,40,340,0,108,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1002GNUS2","Bovidae","Connochaetes","Gnu",0,1255,0,211,0,2279,0,57,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1002ZEBR1","Equidae","Equus","Steppenzebra",0,768,0,61,211,690,19,0,759,17,94,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1102GNUS1","Bovidae","Connochaetes","Gnu",0,1232,0,60,0,1831,0,65,239,0,84,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1102GNUS2","Bovidae","Connochaetes","Gnu",0,1371,0,175,0,2083,0,40,19,0,415,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1102ZEBR1","Equidae","Equus","Steppenzebra",0,679,0,74,239,1465,0,0,577,17,54,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1202GNUS1","Bovidae","Connochaetes","Gnu",0,3446,0,158,0,7067,0,104,644,0,368,0,0,18,0,0,0,0,0,0,0,0,0
"OPE1202GNUS2","Bovidae","Connochaetes","Gnu",0,1491,0,33,0,2456,0,34,44,0,486,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1202ZEBR1","Equidae","Equus","Steppenzebra",0,565,0,67,40,842,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1302GNUS1","Bovidae","Connochaetes","Gnu",0,1737,0,0,0,2110,19,75,71,0,386,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1302GNUS2","Bovidae","Connochaetes","Gnu",0,2301,0,472,0,3941,0,72,110,0,103,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1302ZEBR1","Equidae","Equus","Steppenzebra",0,768,0,15,62,1034,0,0,481,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1402GNUS1","Bovidae","Connochaetes","Gnu",0,1888,0,172,0,3199,0,36,375,0,317,0,0,11,0,0,0,0,0,0,0,0,0
"OPE1402GNUS2","Bovidae","Connochaetes","Gnu",0,9068,66,1189,0,15196,66,276,188,0,1572,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1402ZEBR1","Equidae","Equus","Steppenzebra",0,434,0,36,121,872,0,0,287,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1502GNUS1","Bovidae","Connochaetes","Gnu",0,1236,0,39,0,1915,0,47,252,0,247,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1502GNUS2","Bovidae","Connochaetes","Gnu",0,3496,0,492,0,6165,0,88,151,0,1152,0,0,0,0,0,10,0,0,0,0,0,0
"OPE1502ZEBR1","Equidae","Equus","Steppenzebra",0,438,0,68,99,582,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPE1807EISF1","Canidae","Vulpes","Eisfuchs",0,3384,0,0,0,1148,0,1167,0,0,0,1794,0,0,0,0,0,0,0,0,0,0,0
"OPE1807EISF2","Canidae","Vulpes","Eisfuchs",0,2163,0,0,0,1027,0,462,0,0,0,722,24,0,0,0,0,0,0,0,0,0,0
"OPE1807EISF3","Canidae","Vulpes","Eisfuchs",0,2543,0,0,0,386,0,95,0,0,0,1837,0,0,0,0,0,0,0,0,0,0,0
"OPE1807EISF4","Canidae","Vulpes","Eisfuchs",0,2263,0,0,0,590,0,171,0,0,0,946,0,0,0,0,0,0,0,0,0,0,0
